Date	2025年07月03日木曜日 09時48分45秒
Spectrometers	SR401765
ダーク	使用
リファレンス	使用
積分時間[msec]	300
平均回数	1
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	3648
計測モード	反射率
保存開始波長[nm]	598.495
保存終了波長[nm]	1274.802
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
598.495	99.974092
598.713	99.974092
598.931	99.974092
599.148	99.974092
599.366	0.000000
599.584	0.000000
599.802	0.000000
600.020	0.000000
600.238	0.000000
600.455	-30.970460
600.673	-43.464656
600.891	21.524846
601.109	25.922642
601.326	27.276857
601.544	27.339112
601.762	27.313947
601.979	27.403825
602.197	27.595297
602.415	27.786794
602.632	27.843966
602.850	28.076013
603.067	28.229086
603.285	28.565502
603.502	28.755997
603.720	28.835320
603.938	28.902952
604.155	29.064203
604.372	29.280054
604.590	29.491580
604.807	29.522576
605.025	29.614530
605.242	29.768325
605.460	29.992060
605.677	30.005809
605.894	30.026074
606.112	30.096229
606.329	30.377486
606.546	30.586992
606.764	30.862729
606.981	31.079009
607.198	31.287856
607.415	31.484681
607.633	31.668866
607.850	31.913434
608.067	32.164311
608.284	32.451563
608.501	32.745128
608.718	32.726335
608.935	32.673158
609.153	32.597119
609.370	32.685422
609.587	32.887446
609.804	33.208855
610.021	33.528754
610.238	33.579244
610.455	33.670937
610.672	33.819029
610.889	33.970525
611.106	34.245695
611.323	34.578760
611.540	34.872538
611.756	35.059836
611.973	35.336861
612.190	35.527406
612.407	35.627868
612.624	35.682514
612.841	35.743976
613.057	36.009334
613.274	36.229372
613.491	36.512260
613.708	36.593516
613.925	36.725556
614.141	36.802104
614.358	36.831910
614.575	36.945415
614.791	36.956470
615.008	37.098678
615.225	37.429560
615.441	37.581423
615.658	37.650965
615.874	37.812048
616.091	38.155061
616.307	38.467891
616.524	38.695043
616.740	38.946718
616.957	39.073700
617.173	39.253449
617.390	39.608930
617.606	39.938145
617.823	40.145716
618.039	40.302339
618.256	40.553423
618.472	40.709145
618.688	40.832263
618.905	41.189142
619.121	41.475045
619.337	41.715452
619.554	42.048271
619.770	42.184918
619.986	42.293492
620.202	42.565688
620.419	42.799847
620.635	42.772933
620.851	43.026369
621.067	43.341785
621.283	43.355825
621.499	43.312374
621.716	43.539866
621.932	43.692676
622.148	43.858039
622.364	44.027090
622.580	44.354398
622.796	44.822233
623.012	45.269843
623.228	45.429680
623.444	45.709972
623.660	46.135037
623.876	46.491476
624.092	46.595837
624.308	47.025618
624.524	47.557291
624.740	47.840423
624.955	47.829248
625.171	47.793399
625.387	47.970378
625.603	48.135752
625.819	48.140494
626.034	48.338337
626.250	48.661915
626.466	49.025030
626.682	49.273324
626.897	49.394535
627.113	49.591356
627.329	49.711061
627.544	49.828246
627.760	49.937475
627.976	50.355592
628.191	50.938917
628.407	51.081324
628.623	51.171224
628.838	51.311631
629.054	51.181468
629.269	51.133842
629.485	51.259024
629.700	51.538531
629.916	51.961225
630.131	52.287641
630.347	52.405205
630.562	52.372585
630.777	52.688049
630.993	53.016312
631.208	53.282094
631.424	53.699091
631.639	54.136437
631.854	54.619886
632.070	54.937000
632.285	55.045367
632.500	55.266108
632.715	55.443716
632.931	55.530562
633.146	55.614789
633.361	55.765084
633.576	55.893831
633.791	55.972919
634.007	56.078311
634.222	56.045400
634.437	56.066600
634.652	56.202394
634.867	56.325624
635.082	56.426622
635.297	56.655198
635.512	56.848960
635.727	56.977457
635.942	57.141443
636.157	57.474667
636.372	57.804548
636.587	57.998429
636.802	58.124155
637.017	58.161883
637.232	58.163490
637.447	58.331335
637.662	58.347484
637.876	58.351997
638.091	58.272987
638.306	58.205296
638.521	58.173866
638.736	58.051781
638.951	57.990327
639.165	58.171256
639.380	58.396409
639.595	58.542815
639.809	58.830352
640.024	59.215316
640.239	59.318186
640.453	59.672369
640.668	60.126432
640.883	60.144099
641.097	60.332356
641.312	60.584341
641.526	60.736303
641.741	60.952737
641.955	61.268925
642.170	61.534673
642.384	61.725116
642.599	62.002281
642.813	62.169666
643.028	62.304830
643.242	62.748060
643.457	62.944453
643.671	63.288488
643.885	63.830192
644.100	64.247047
644.314	64.425245
644.528	64.363967
644.743	64.608756
644.957	65.029545
645.171	65.209814
645.386	65.021300
645.600	64.897989
645.814	64.953497
646.028	64.948023
646.242	64.701980
646.457	64.373019
646.671	64.061802
646.885	64.036706
647.099	63.942284
647.313	63.939531
647.527	64.221150
647.741	64.603190
647.955	64.806336
648.169	64.863976
648.383	64.753246
648.597	64.811093
648.811	65.349668
649.025	66.071699
649.239	66.293013
649.453	66.117519
649.667	65.878681
649.881	65.666601
650.095	65.678066
650.309	65.818179
650.523	65.993982
650.737	66.107041
650.950	66.120060
651.164	65.891376
651.378	65.568317
651.592	65.547852
651.805	65.814101
652.019	65.998804
652.233	66.061920
652.447	66.033464
652.660	66.015960
652.874	66.181435
653.088	66.550529
653.301	66.878106
653.515	67.050372
653.728	67.184720
653.942	67.198304
654.156	67.257489
654.369	67.470416
654.583	67.740446
654.796	68.044900
655.010	68.217051
655.223	68.127339
655.437	68.021708
655.650	68.096202
655.863	68.317527
656.077	68.516889
656.290	68.782970
656.504	68.798043
656.717	68.721904
656.930	68.787049
657.144	68.933492
657.357	69.089017
657.570	69.178577
657.783	69.204301
657.997	69.289814
658.210	69.322581
658.423	69.426249
658.636	69.603248
658.849	69.845615
659.063	69.991911
659.276	69.964169
659.489	69.835981
659.702	69.829028
659.915	69.828850
660.128	69.759170
660.341	69.601949
660.554	69.526645
660.767	69.451133
660.980	69.268155
661.193	69.306505
661.406	69.285996
661.619	69.203111
661.832	69.506664
662.045	69.801275
662.258	70.242212
662.471	70.631273
662.684	70.823965
662.897	71.079888
663.110	71.367332
663.322	71.740019
663.535	72.052199
663.748	72.343087
663.961	72.775709
664.174	72.862373
664.386	72.700795
664.599	72.447171
664.812	72.271266
665.024	72.328960
665.237	72.203310
665.450	72.122831
665.662	72.182557
665.875	72.157714
666.088	72.365336
666.300	72.507721
666.513	72.628529
666.725	72.760035
666.938	73.197964
667.150	73.842226
667.363	74.256701
667.575	74.739984
667.788	75.295958
668.000	75.707058
668.213	75.799732
668.425	75.658686
668.638	75.707544
668.850	75.738915
669.062	75.919562
669.275	75.989142
669.487	75.789656
669.699	75.475295
669.912	75.313674
670.124	75.119119
670.336	74.932070
670.548	75.168085
670.761	75.475578
670.973	75.477331
671.185	75.437410
671.397	75.270135
671.609	74.945868
671.822	74.854246
672.034	75.076047
672.246	75.161768
672.458	75.174432
672.670	75.165552
672.882	75.064033
673.094	74.874598
673.306	74.780950
673.518	74.890461
673.730	74.911568
673.942	74.858251
674.154	74.906891
674.366	74.891673
674.578	75.011302
674.790	75.200320
675.002	75.224178
675.214	75.096449
675.425	75.114174
675.637	75.063339
675.849	74.830306
676.061	74.838418
676.273	75.001748
676.484	75.035804
676.696	75.202423
676.908	75.429573
677.120	75.511150
677.331	75.630184
677.543	75.850367
677.755	75.866367
677.966	75.921384
678.178	76.183861
678.389	76.585491
678.601	76.931797
678.813	77.192773
679.024	77.162922
679.236	76.989273
679.447	77.049305
679.659	77.252412
679.870	77.414197
680.082	77.610377
680.293	77.756434
680.505	77.669406
680.716	77.471499
680.927	77.390015
681.139	77.300013
681.350	77.358085
681.562	77.204137
681.773	76.871226
681.984	76.629380
682.196	76.404673
682.407	76.505995
682.618	76.942513
682.829	77.184057
683.041	77.234204
683.252	77.321793
683.463	77.540694
683.674	77.636349
683.885	77.801790
684.097	77.934483
684.308	77.865945
684.519	77.752178
684.730	77.493410
684.941	77.117464
685.152	77.197889
685.363	77.491942
685.574	77.376996
685.785	76.998546
685.996	76.669646
686.207	76.506258
686.418	76.682499
686.629	77.214918
686.840	77.791802
687.051	78.208321
687.262	78.321059
687.473	78.076596
687.684	77.722538
687.894	77.792474
688.105	78.218384
688.316	78.606864
688.527	78.672640
688.738	78.316922
688.948	77.547641
689.159	76.730547
689.370	75.960335
689.580	75.600757
689.791	75.730144
690.002	75.984250
690.212	76.186676
690.423	76.111448
690.634	76.186387
690.844	76.565800
691.055	77.121513
691.266	77.651747
691.476	78.228342
691.687	78.762760
691.897	78.959898
692.108	79.003494
692.318	79.043348
692.529	78.865217
692.739	78.629007
692.949	78.219413
693.160	78.012472
693.370	77.975693
693.581	77.970990
693.791	77.915585
694.001	78.132658
694.212	78.637898
694.422	78.948319
694.632	79.107211
694.843	79.482099
695.053	80.114778
695.263	80.594552
695.473	80.639984
695.683	80.505778
695.894	80.507023
696.104	80.538782
696.314	80.322588
696.524	79.896458
696.734	79.526549
696.944	79.359885
697.154	79.050353
697.365	78.437008
697.575	78.073537
697.785	77.949007
697.995	77.816047
698.205	77.673002
698.415	77.762011
698.625	78.054016
698.834	78.245009
699.044	78.331181
699.254	78.423068
699.464	78.555971
699.674	78.536615
699.884	78.509701
700.094	78.640314
