Date	2025年07月03日木曜日 10時01分07秒
Spectrometers	SR401765
ダーク	使用
リファレンス	使用
積分時間[msec]	300
平均回数	1
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	3648
計測モード	反射率
保存開始波長[nm]	598.495
保存終了波長[nm]	1274.802
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
598.495	0.000000
598.713	0.000000
598.931	0.000000
599.148	0.000000
599.366	247.263908
599.584	143.078343
599.802	196.513939
600.020	0.000000
600.238	0.000000
600.455	0.000000
600.673	0.000000
600.891	28.873066
601.109	25.800164
601.326	26.642780
601.544	26.382389
601.762	26.615880
601.979	26.851051
602.197	27.320318
602.415	27.473422
602.632	27.639471
602.850	27.805279
603.067	27.843247
603.285	27.797696
603.502	27.901349
603.720	27.826517
603.938	27.884327
604.155	27.988961
604.372	28.075935
604.590	28.178665
604.807	28.425966
605.025	28.599743
605.242	28.595206
605.460	28.496511
605.677	28.642875
605.894	28.815965
606.112	29.082458
606.329	29.366063
606.546	29.452362
606.764	29.444905
606.981	29.362798
607.198	29.086024
607.415	28.990070
607.633	28.989537
607.850	29.355118
608.067	29.766497
608.284	30.098058
608.501	30.389925
608.718	30.785697
608.935	31.044921
609.153	31.283203
609.370	31.725520
609.587	32.272061
609.804	32.592963
610.021	32.896749
610.238	32.964691
610.455	32.856212
610.672	32.773545
610.889	32.829171
611.106	32.914678
611.323	33.034692
611.540	33.211623
611.756	33.346138
611.973	33.444278
612.190	33.593275
612.407	33.877604
612.624	34.307403
612.841	34.664594
613.057	35.059866
613.274	35.336649
613.491	35.498491
613.708	35.832666
613.925	36.020795
614.141	36.262465
614.358	36.751779
614.575	37.213757
614.791	37.459456
615.008	37.533643
615.225	37.849986
615.441	38.008651
615.658	38.168818
615.874	38.278805
616.091	38.439167
616.307	38.610495
616.524	38.555180
616.740	38.441158
616.957	38.504316
617.173	38.746128
617.390	39.002900
617.606	39.130396
617.823	39.362790
618.039	39.655548
618.256	39.969671
618.472	40.063362
618.688	40.316720
618.905	40.737175
619.121	41.361967
619.337	41.817173
619.554	42.145859
619.770	42.456698
619.986	42.703494
620.202	42.767077
620.419	42.592415
620.635	42.591284
620.851	42.825277
621.067	43.112911
621.283	43.420013
621.499	43.514921
621.716	43.539992
621.932	43.540050
622.148	43.538091
622.364	43.768006
622.580	44.145970
622.796	44.716419
623.012	45.205995
623.228	45.555295
623.444	45.645251
623.660	45.689335
623.876	45.783862
624.092	46.136438
624.308	46.471424
624.524	46.925848
624.740	47.182912
624.955	47.258778
625.171	47.433905
625.387	47.624844
625.603	47.808841
625.819	48.152716
626.034	48.331292
626.250	48.348448
626.466	48.438702
626.682	48.726063
626.897	48.816890
627.113	48.979867
627.329	49.421679
627.544	49.824844
627.760	50.143325
627.976	50.389006
628.191	50.495495
628.407	50.684285
628.623	50.997610
628.838	51.171728
629.054	51.232438
629.269	51.342553
629.485	51.518674
629.700	51.711904
629.916	51.755211
630.131	51.681312
630.347	51.739918
630.562	51.947602
630.777	52.198938
630.993	52.369881
631.208	52.526054
631.424	52.811237
631.639	53.053280
631.854	53.155438
632.070	53.114439
632.285	53.217853
632.500	53.686489
632.715	54.102637
632.931	54.461241
633.146	54.629402
633.361	54.737101
633.576	54.973480
633.791	54.995620
634.007	55.073493
634.222	55.443498
634.437	55.957602
634.652	56.296854
634.867	56.413143
635.082	56.585398
635.297	56.597368
635.512	56.746817
635.727	57.039773
635.942	57.218082
636.157	57.517532
636.372	57.851209
636.587	58.054653
636.802	58.094681
637.017	58.066120
637.232	58.028740
637.447	58.229715
637.662	58.701215
637.876	59.066689
638.091	59.403903
638.306	59.846882
638.521	60.237920
638.736	60.507745
638.951	60.590196
639.165	60.769694
639.380	61.005327
639.595	61.234751
639.809	61.357756
640.024	61.421859
640.239	61.526203
640.453	61.605309
640.668	61.641152
640.883	61.653336
641.097	61.687078
641.312	61.858545
641.526	61.960693
641.741	62.068990
641.955	62.166483
642.170	62.063520
642.384	62.006123
642.599	62.253943
642.813	62.306557
643.028	62.118129
643.242	62.114267
643.457	62.379355
643.671	62.695391
643.885	63.024909
644.100	63.413259
644.314	63.890162
644.528	64.379002
644.743	64.750446
644.957	64.744081
645.171	65.185271
645.386	65.726655
645.600	65.983221
645.814	66.089130
646.028	66.139377
646.242	66.243996
646.457	66.349981
646.671	66.395269
646.885	66.469589
647.099	66.448090
647.313	66.673942
647.527	66.719224
647.741	66.889128
647.955	67.125027
648.169	67.037548
648.383	66.562941
648.597	66.069401
648.811	65.603043
649.025	65.140760
649.239	64.903316
649.453	64.919888
649.667	64.835559
649.881	64.575908
650.095	64.091031
650.309	63.623875
650.523	63.735903
650.737	64.307364
650.950	64.794020
651.164	65.368687
651.378	65.938885
651.592	66.284482
651.805	66.528758
652.019	66.744858
652.233	66.954152
652.447	67.209395
652.660	67.627169
652.874	67.676297
653.088	67.527941
653.301	67.493405
653.515	67.392977
653.728	67.267775
653.942	67.299616
654.156	67.430173
654.369	67.611419
654.583	67.937507
654.796	68.515588
655.010	68.924523
655.223	69.185903
655.437	69.399180
655.650	69.481717
655.863	69.428564
656.077	69.515166
656.290	69.625881
656.504	69.590087
656.717	69.523985
656.930	69.500357
657.144	69.241673
657.357	69.099385
657.570	69.242142
657.783	69.306269
657.997	69.518724
658.210	69.841818
658.423	69.985474
658.636	70.003927
658.849	69.909009
659.063	69.906364
659.276	70.033954
659.489	70.416728
659.702	70.683537
659.915	70.604961
660.128	70.642054
660.341	70.717472
660.554	70.836186
660.767	70.803936
660.980	70.858155
661.193	71.155506
661.406	71.305817
661.619	71.131916
661.832	70.742539
662.045	70.334097
662.258	70.394333
662.471	70.558261
662.684	70.485770
662.897	70.496269
663.110	70.579011
663.322	70.449757
663.535	70.545795
663.748	70.863325
663.961	71.217071
664.174	71.494033
664.386	71.653721
664.599	71.523473
664.812	71.492765
665.024	71.679150
665.237	71.795607
665.450	72.227085
665.662	72.871148
665.875	73.158455
666.088	73.243834
666.300	73.286316
666.513	73.654626
666.725	74.176405
666.938	74.723805
667.150	75.094774
667.363	75.219874
667.575	75.278748
667.788	75.194192
668.000	74.866191
668.213	74.622435
668.425	74.544352
668.638	74.513085
668.850	74.213037
669.062	74.043001
669.275	74.057571
669.487	74.009526
669.699	74.002050
669.912	74.028800
670.124	73.989104
670.336	74.095137
670.548	74.033459
670.761	73.912921
670.973	73.952078
671.185	74.002219
671.397	73.927403
671.609	73.681636
671.822	73.607761
672.034	73.702059
672.246	73.897464
672.458	74.147949
672.670	74.235132
672.882	74.372636
673.094	74.339651
673.306	74.404401
673.518	74.744518
673.730	75.048919
673.942	75.504674
674.154	75.812945
674.366	75.902655
674.578	75.789439
674.790	75.643727
675.002	75.710213
675.214	75.667249
675.425	75.743872
675.637	75.840194
675.849	75.756848
676.061	75.688583
676.273	75.359407
676.484	75.067032
676.696	74.921282
676.908	74.798765
677.120	74.648985
677.331	74.501064
677.543	74.641143
677.755	74.962650
677.966	75.129976
678.178	74.977175
678.389	74.858400
678.601	75.151865
678.813	75.352274
679.024	75.409948
679.236	75.506767
679.447	75.607370
679.659	75.756865
679.870	75.903059
680.082	75.841480
680.293	75.649416
680.505	75.862415
680.716	75.950962
680.927	75.754199
681.139	75.695670
681.350	75.750237
681.562	75.898970
681.773	76.015329
681.984	75.611634
682.196	74.962138
682.407	74.459027
682.618	74.268172
682.829	74.002069
683.041	73.928581
683.252	74.023989
683.463	74.208826
683.674	74.609385
683.885	74.819616
684.097	74.846251
684.308	75.024155
684.519	75.273649
684.730	75.654046
684.941	75.977192
685.152	76.368112
685.363	76.701970
685.574	76.818367
685.785	76.600689
685.996	76.117428
686.207	75.865046
686.418	75.900083
686.629	76.223610
686.840	76.676755
687.051	76.870062
687.262	76.777116
687.473	76.424834
687.684	76.079458
687.894	75.859542
688.105	75.807727
688.316	75.842699
688.527	75.825390
688.738	75.756668
688.948	75.494878
689.159	74.983278
689.370	74.504161
689.580	74.095564
689.791	73.788655
690.002	73.430487
690.212	73.053188
690.423	73.150610
690.634	73.524530
690.844	73.593575
691.055	73.585913
691.266	73.942439
691.476	74.674622
691.687	75.341618
691.897	75.548271
692.108	75.746804
692.318	76.203486
692.529	76.520683
692.739	76.444437
692.949	76.331573
693.160	76.441031
693.370	76.621301
693.581	76.549996
693.791	76.472638
694.001	76.522027
694.212	77.012686
694.422	77.491010
694.632	77.483061
694.843	77.362577
695.053	77.210317
695.263	76.980442
695.473	77.035691
695.683	77.363512
695.894	77.643367
696.104	77.617341
696.314	77.546937
696.524	77.474042
696.734	77.175245
696.944	77.189607
697.154	77.524141
697.365	77.689770
697.575	77.770258
697.785	77.672131
697.995	77.357153
698.205	77.273895
698.415	77.363686
698.625	77.405339
698.834	77.573576
699.044	78.052104
699.254	78.356219
699.464	78.640528
699.674	79.111114
699.884	79.286980
700.094	79.263012
