Date	2025年07月03日木曜日 10時00分23秒
Spectrometers	SR401765
ダーク	使用
リファレンス	使用
積分時間[msec]	300
平均回数	1
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	3648
計測モード	反射率
保存開始波長[nm]	598.495
保存終了波長[nm]	1274.802
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
598.495	0.000000
598.713	0.000000
598.931	0.000000
599.148	0.000000
599.366	-222.081845
599.584	21.932860
599.802	136.515843
600.020	0.000000
600.238	0.000000
600.455	0.000000
600.673	0.000000
600.891	18.302111
601.109	16.322208
601.326	17.106851
601.544	17.498291
601.762	17.518014
601.979	17.193369
602.197	17.101881
602.415	17.372763
602.632	17.546689
602.850	17.799096
603.067	17.956775
603.285	18.118013
603.502	18.264747
603.720	18.306561
603.938	18.484931
604.155	18.657863
604.372	18.776776
604.590	19.024127
604.807	19.103703
605.025	19.247493
605.242	19.192411
605.460	19.123254
605.677	19.103745
605.894	19.125005
606.112	19.302974
606.329	19.505427
606.546	19.676375
606.764	19.677500
606.981	19.677601
607.198	19.529317
607.415	19.538431
607.633	19.630096
607.850	19.875290
608.067	20.235661
608.284	20.609719
608.501	20.917030
608.718	21.048127
608.935	21.182167
609.153	21.540088
609.370	21.771025
609.587	22.213898
609.804	22.371444
610.021	22.519252
610.238	22.524985
610.455	22.565711
610.672	22.593017
610.889	22.574263
611.106	22.825946
611.323	22.918653
611.540	22.777012
611.756	22.769224
611.973	22.803613
612.190	23.046546
612.407	23.357617
612.624	23.748575
612.841	24.028562
613.057	24.206556
613.274	24.330441
613.491	24.271796
613.708	24.459542
613.925	24.830772
614.141	25.111356
614.358	25.509285
614.575	25.843344
614.791	26.123941
615.008	26.390683
615.225	26.564775
615.441	26.820093
615.658	27.084220
615.874	27.414882
616.091	27.767938
616.307	28.034349
616.524	28.244854
616.740	28.411578
616.957	28.606857
617.173	28.803282
617.390	28.950795
617.606	29.131592
617.823	29.276650
618.039	29.453209
618.256	29.538507
618.472	29.569934
618.688	29.745561
618.905	29.993599
619.121	30.361136
619.337	30.782255
619.554	31.185941
619.770	31.647309
619.986	32.148489
620.202	32.567227
620.419	32.743859
620.635	33.034846
620.851	33.499331
621.067	33.982629
621.283	34.369948
621.499	34.474528
621.716	34.535981
621.932	34.561947
622.148	34.488938
622.364	34.518294
622.580	34.667908
622.796	35.185921
623.012	35.509020
623.228	35.580210
623.444	35.504390
623.660	35.645674
623.876	36.020068
624.092	36.278937
624.308	36.520942
624.524	36.916983
624.740	37.276873
624.955	37.495211
625.171	37.545464
625.387	37.776159
625.603	38.118354
625.819	38.586126
626.034	38.680847
626.250	38.532718
626.466	38.643881
626.682	38.983942
626.897	39.179465
627.113	39.305789
627.329	39.670413
627.544	40.110445
627.760	40.555958
627.976	40.971065
628.191	41.226532
628.407	41.636294
628.623	42.201596
628.838	42.614240
629.054	42.700174
629.269	42.839350
629.485	43.180060
629.700	43.501283
629.916	43.634873
630.131	43.576821
630.347	43.710968
630.562	43.880415
630.777	43.884959
630.993	43.946170
631.208	44.030963
631.424	44.274809
631.639	44.434926
631.854	44.513917
632.070	44.540748
632.285	44.659650
632.500	44.982880
632.715	45.042134
632.931	45.314950
633.146	45.776143
633.361	45.985972
633.576	46.106741
633.791	46.225064
634.007	46.520076
634.222	46.882017
634.437	47.418192
634.652	48.016661
634.867	48.294776
635.082	48.665139
635.297	48.742123
635.512	48.779344
635.727	49.027440
635.942	49.430128
636.157	49.918811
636.372	50.235395
636.587	50.292440
636.802	50.088941
637.017	49.928825
637.232	50.007954
637.447	50.234578
637.662	50.548494
637.876	50.863096
638.091	51.200499
638.306	51.512544
638.521	51.695617
638.736	51.826815
638.951	52.037448
639.165	52.414957
639.380	52.537216
639.595	52.715801
639.809	52.896832
640.024	53.091188
640.239	53.335524
640.453	53.474778
640.668	53.510054
640.883	53.602687
641.097	53.832642
641.312	54.207977
641.526	54.493746
641.741	54.809620
641.955	54.926361
642.170	54.858657
642.384	54.830808
642.599	54.953169
642.813	54.948625
643.028	54.900960
643.242	54.950637
643.457	55.199174
643.671	55.284440
643.885	55.217873
644.100	55.383396
644.314	55.861406
644.528	56.292758
644.743	56.790908
644.957	57.216046
645.171	57.765131
645.386	58.273500
645.600	58.497032
645.814	58.511282
646.028	58.807421
646.242	59.411697
646.457	59.677383
646.671	59.568130
646.885	59.501017
647.099	59.377444
647.313	59.326875
647.527	59.338510
647.741	59.388774
647.955	59.633319
648.169	59.693915
648.383	59.411703
648.597	58.952539
648.811	58.660668
649.025	58.501855
649.239	58.691082
649.453	59.039292
649.667	59.172905
649.881	59.094013
650.095	58.996514
650.309	58.837247
650.523	58.974631
650.737	59.328086
650.950	59.736486
651.164	60.286845
651.378	60.773600
651.592	61.092753
651.805	61.215881
652.019	61.379500
652.233	61.487978
652.447	61.661946
652.660	62.008703
652.874	62.129287
653.088	61.939012
653.301	61.724019
653.515	61.563763
653.728	61.669310
653.942	61.799901
654.156	62.043522
654.369	62.336046
654.583	62.652010
654.796	63.101579
655.010	63.442437
655.223	63.790367
655.437	64.219703
655.650	64.660603
655.863	64.968972
656.077	65.115643
656.290	65.119241
656.504	65.095594
656.717	64.981983
656.930	65.067026
657.144	65.106228
657.357	65.217120
657.570	65.408587
657.783	65.541547
657.997	65.655377
658.210	65.642688
658.423	65.633383
658.636	65.668087
658.849	65.726940
659.063	65.854379
659.276	66.072876
659.489	66.266950
659.702	66.314774
659.915	66.224895
660.128	66.275233
660.341	66.392795
660.554	66.537019
660.767	66.592723
660.980	66.524292
661.193	66.418199
661.406	66.282600
661.619	66.065384
661.832	65.896296
662.045	65.648803
662.258	65.621828
662.471	65.710347
662.684	65.833885
662.897	66.012961
663.110	66.087212
663.322	66.124402
663.535	66.312585
663.748	66.769979
663.961	67.135116
664.174	67.204429
664.386	67.195940
664.599	67.157454
664.812	67.084526
665.024	67.137544
665.237	67.349329
665.450	67.879371
665.662	68.727825
665.875	69.373164
666.088	69.412598
666.300	69.348885
666.513	69.652233
666.725	70.152047
666.938	70.423864
667.150	70.629501
667.363	70.663298
667.575	70.540480
667.788	70.428158
668.000	70.194965
668.213	69.991653
668.425	70.037871
668.638	70.172735
668.850	70.307352
669.062	70.410901
669.275	70.685988
669.487	70.809012
669.699	70.742148
669.912	70.712903
670.124	70.527088
670.336	70.288689
670.548	69.861453
670.761	69.571287
670.973	69.432134
671.185	69.198148
671.397	68.990825
671.609	68.774115
671.822	68.911028
672.034	69.075793
672.246	69.266567
672.458	69.500151
672.670	69.470935
672.882	69.693787
673.094	69.982933
673.306	70.251749
673.518	70.607592
673.730	71.032725
673.942	71.464047
674.154	71.629922
674.366	71.751542
674.578	71.884024
674.790	72.006799
675.002	72.342601
675.214	72.436040
675.425	72.432736
675.637	72.592345
675.849	72.639899
676.061	72.644683
676.273	72.532528
676.484	72.395990
676.696	72.405788
676.908	72.476748
677.120	72.528079
677.331	72.517867
677.543	72.812543
677.755	73.294089
677.966	73.536253
678.178	73.660292
678.389	73.805399
678.601	73.896411
678.813	73.819948
679.024	73.626054
679.236	73.485703
679.447	73.442223
679.659	73.410356
679.870	73.211356
680.082	72.915826
680.293	72.688929
680.505	72.617812
680.716	72.364581
680.927	72.347025
681.139	72.651501
681.350	72.998871
681.562	73.125250
681.773	73.049140
681.984	72.794461
682.196	72.471302
682.407	72.129123
682.618	71.823710
682.829	71.550693
683.041	71.442375
683.252	71.236174
683.463	71.062186
683.674	71.114803
683.885	71.192824
684.097	71.159417
684.308	71.249120
684.519	71.561488
684.730	72.001013
684.941	72.568834
685.152	73.010640
685.363	73.329265
685.574	73.672047
685.785	73.762387
685.996	73.586065
686.207	73.411176
686.418	73.479525
686.629	73.694616
686.840	73.863732
687.051	73.785609
687.262	73.412518
687.473	73.111818
687.684	73.170690
687.894	73.103177
688.105	72.931243
688.316	72.853330
688.527	72.851723
688.738	72.937959
688.948	72.956960
689.159	72.616113
689.370	72.308845
689.580	72.113073
689.791	71.839365
690.002	71.347945
690.212	71.128190
690.423	71.290897
690.634	71.467995
690.844	71.573775
691.055	71.659915
691.266	71.951139
691.476	72.696808
691.687	73.436878
691.897	73.819981
692.108	74.313272
692.318	74.904378
692.529	75.199566
692.739	75.359839
692.949	75.599238
693.160	75.940017
693.370	76.098857
693.581	76.038685
693.791	75.912704
694.001	75.748422
694.212	75.849325
694.422	75.861062
694.632	75.649178
694.843	75.379544
695.053	75.055754
695.263	74.744397
695.473	74.490934
695.683	74.671516
695.894	74.804224
696.104	74.606925
696.314	74.537600
696.524	74.576644
696.734	74.500137
696.944	74.503765
697.154	74.619636
697.365	74.487260
697.575	74.326136
697.785	74.221721
697.995	73.937523
698.205	73.959215
698.415	74.108987
698.625	74.122358
698.834	74.203733
699.044	74.332578
699.254	74.310467
699.464	74.457024
699.674	74.871421
699.884	75.004999
700.094	75.015746
