Date	2025年07月03日木曜日 09時47分49秒
Spectrometers	SR401765
ダーク	使用
リファレンス	使用
積分時間[msec]	300
平均回数	1
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	3648
計測モード	反射率
保存開始波長[nm]	598.495
保存終了波長[nm]	1274.802
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
598.495	99.999225
598.713	99.999225
598.931	99.999225
599.148	99.999225
599.366	0.000000
599.584	0.000000
599.802	0.000000
600.020	0.000000
600.238	0.000000
600.455	93.067227
600.673	305.399463
600.891	27.525533
601.109	26.698322
601.326	26.337165
601.544	25.841606
601.762	25.110101
601.979	24.899778
602.197	24.643673
602.415	24.450406
602.632	24.372335
602.850	24.448666
603.067	24.471311
603.285	24.617614
603.502	24.789913
603.720	24.885028
603.938	24.891285
604.155	25.044068
604.372	25.243787
604.590	25.462313
604.807	25.673423
605.025	25.791507
605.242	25.938542
605.460	26.232324
605.677	26.264221
605.894	26.160045
606.112	26.239537
606.329	26.564080
606.546	26.913189
606.764	27.030263
606.981	27.068897
607.198	27.147667
607.415	27.241013
607.633	27.430300
607.850	27.571926
608.067	27.767352
608.284	28.084850
608.501	28.426738
608.718	28.493068
608.935	28.408705
609.153	28.406859
609.370	28.634843
609.587	28.905351
609.804	29.133399
610.021	29.335509
610.238	29.502795
610.455	29.659499
610.672	29.788532
610.889	29.975829
611.106	30.227396
611.323	30.419729
611.540	30.679397
611.756	30.867748
611.973	30.997207
612.190	31.127575
612.407	31.245375
612.624	31.387910
612.841	31.593114
613.057	31.841075
613.274	31.988109
613.491	32.264573
613.708	32.618979
613.925	32.874285
614.141	32.992445
614.358	33.171022
614.575	33.483883
614.791	33.683444
615.008	33.864341
615.225	34.203702
615.441	34.372662
615.658	34.430488
615.874	34.374224
616.091	34.467941
616.307	34.780604
616.524	35.213804
616.740	35.614368
616.957	35.808270
617.173	35.975367
617.390	36.187626
617.606	36.301170
617.823	36.465470
618.039	36.529450
618.256	36.768549
618.472	37.011278
618.688	37.191408
618.905	37.400898
619.121	37.539341
619.337	37.797732
619.554	38.140807
619.770	38.441819
619.986	38.725433
620.202	38.918396
620.419	39.292166
620.635	39.536407
620.851	39.855116
621.067	40.222921
621.283	40.411514
621.499	40.507253
621.716	40.667690
621.932	40.793211
622.148	40.856142
622.364	40.927718
622.580	41.168124
622.796	41.399942
623.012	41.708208
623.228	41.939415
623.444	42.160316
623.660	42.427416
623.876	42.800294
624.092	42.988894
624.308	43.233421
624.524	43.616772
624.740	43.904586
624.955	44.138370
625.171	44.430257
625.387	44.720402
625.603	44.860789
625.819	44.886202
626.034	44.964716
626.250	45.080734
626.466	45.222935
626.682	45.415863
626.897	45.595895
627.113	45.856887
627.329	46.114427
627.544	46.222644
627.760	46.222422
627.976	46.426137
628.191	46.757087
628.407	46.984430
628.623	47.243642
628.838	47.598115
629.054	47.825422
629.269	47.970303
629.485	48.109342
629.700	48.348888
629.916	48.652719
630.131	48.991582
630.347	49.134592
630.562	49.082425
630.777	49.151173
630.993	49.240273
631.208	49.477378
631.424	49.739433
631.639	49.956495
631.854	50.196571
632.070	50.336480
632.285	50.546745
632.500	50.736100
632.715	51.001364
632.931	51.375306
633.146	51.686530
633.361	51.927428
633.576	52.041693
633.791	52.042434
634.007	52.156976
634.222	52.254105
634.437	52.434392
634.652	52.474473
634.867	52.605557
635.082	52.798237
635.297	53.043998
635.512	53.323062
635.727	53.649746
635.942	53.998072
636.157	54.524605
636.372	54.907464
636.587	55.098260
636.802	55.184454
637.017	55.296073
637.232	55.409229
637.447	55.540315
637.662	55.597347
637.876	55.611308
638.091	55.459236
638.306	55.379112
638.521	55.252242
638.736	55.116751
638.951	55.264077
639.165	55.579523
639.380	55.839035
639.595	55.887965
639.809	56.021366
640.024	56.090850
640.239	56.203323
640.453	56.625050
640.668	56.937840
640.883	57.163301
641.097	57.416146
641.312	57.582293
641.526	57.599977
641.741	57.739836
641.955	58.131432
642.170	58.342167
642.384	58.620495
642.599	58.980990
642.813	59.125718
643.028	59.222082
643.242	59.304328
643.457	59.469875
643.671	59.705588
643.885	59.889209
644.100	59.956909
644.314	59.920629
644.528	60.039642
644.743	60.330285
644.957	60.526131
645.171	60.715720
645.386	60.783886
645.600	60.994201
645.814	61.171200
646.028	61.302122
646.242	61.452532
646.457	61.714049
646.671	62.048249
646.885	62.282321
647.099	62.285498
647.313	62.295790
647.527	62.360929
647.741	62.584174
647.955	62.604679
648.169	62.550082
648.383	62.519026
648.597	62.601646
648.811	62.639106
649.025	62.691311
649.239	62.635412
649.453	62.610948
649.667	62.642959
649.881	62.671604
650.095	62.723363
650.309	62.897517
650.523	63.121435
650.737	63.210561
650.950	63.334694
651.164	63.477155
651.378	63.616116
651.592	63.822878
651.805	63.977182
652.019	64.098927
652.233	64.178540
652.447	64.311221
652.660	64.472151
652.874	64.520806
653.088	64.742066
653.301	64.904383
653.515	65.021514
653.728	65.031666
653.942	65.053902
654.156	65.182149
654.369	65.317284
654.583	65.510486
654.796	65.612352
655.010	65.571359
655.223	65.681692
655.437	65.780121
655.650	65.933538
655.863	66.320444
656.077	66.544027
656.290	66.737310
656.504	67.007487
656.717	67.165784
656.930	67.315125
657.144	67.613832
657.357	67.873834
657.570	68.070172
657.783	68.158371
657.997	68.148638
658.210	67.965155
658.423	68.035291
658.636	68.166274
658.849	68.120911
659.063	68.161292
659.276	68.097672
659.489	67.939484
659.702	67.943030
659.915	67.956232
660.128	68.034223
660.341	68.142783
660.554	68.382233
660.767	68.545225
660.980	68.617731
661.193	68.737121
661.406	68.837846
661.619	69.078290
661.832	69.228282
662.045	69.464267
662.258	69.822786
662.471	70.092935
662.684	70.288317
662.897	70.452449
663.110	70.408778
663.322	70.340825
663.535	70.237639
663.748	70.264326
663.961	70.282173
664.174	70.296920
664.386	70.183416
664.599	70.093310
664.812	70.001378
665.024	69.884702
665.237	69.626596
665.450	69.560046
665.662	69.659288
665.875	69.946438
666.088	70.201512
666.300	70.233172
666.513	70.376621
666.725	70.575094
666.938	70.715229
667.150	70.874426
667.363	71.001955
667.575	71.189644
667.788	71.504661
668.000	71.732515
668.213	71.694851
668.425	71.610081
668.638	71.688519
668.850	71.695115
669.062	71.799964
669.275	71.883700
669.487	71.907310
669.699	71.964033
669.912	72.045198
670.124	72.072096
670.336	72.193994
670.548	72.376986
670.761	72.413954
670.973	72.430033
671.185	72.639832
671.397	72.638093
671.609	72.452572
671.822	72.354030
672.034	72.350478
672.246	72.375855
672.458	72.490309
672.670	72.428498
672.882	72.391320
673.094	72.428317
673.306	72.404272
673.518	72.303470
673.730	72.369478
673.942	72.674734
674.154	72.974862
674.366	73.212813
674.578	73.502859
674.790	73.625549
675.002	73.624143
675.214	73.626531
675.425	73.797222
675.637	73.956080
675.849	73.905613
676.061	73.889365
676.273	73.830552
676.484	73.825542
676.696	73.794586
676.908	73.582478
677.120	73.529012
677.331	73.619849
677.543	73.739786
677.755	73.618665
677.966	73.569733
678.178	73.655504
678.389	73.622454
678.601	73.739111
678.813	73.722503
679.024	73.673428
679.236	73.752742
679.447	73.797492
679.659	74.024211
679.870	74.227760
680.082	74.413355
680.293	74.604079
680.505	74.689414
680.716	74.565779
680.927	74.309498
681.139	74.345883
681.350	74.435037
681.562	74.367703
681.773	74.228266
681.984	74.031362
682.196	73.809193
682.407	73.818629
682.618	73.931928
682.829	74.055790
683.041	74.426914
683.252	74.752038
683.463	74.837371
683.674	74.979714
683.885	75.312928
684.097	75.583026
684.308	75.697458
684.519	75.847300
684.730	75.868170
684.941	75.781275
685.152	75.736673
685.363	75.634913
685.574	75.581586
685.785	75.561171
685.996	75.416845
686.207	75.284586
686.418	75.214518
686.629	75.382813
686.840	75.591086
687.051	75.699990
687.262	75.716158
687.473	75.791705
687.684	75.913153
687.894	76.084663
688.105	76.268525
688.316	76.518123
688.527	76.542033
688.738	76.483842
688.948	76.213056
689.159	75.903610
689.370	75.661611
689.580	75.597019
689.791	75.653350
690.002	75.734103
690.212	75.727077
690.423	75.599234
690.634	75.322450
690.844	75.252887
691.055	75.334285
691.266	75.598472
691.476	75.838304
691.687	76.000493
691.897	76.041145
692.108	75.962191
692.318	75.945045
692.529	75.983393
692.739	76.045703
692.949	76.046327
693.160	75.902515
693.370	75.814040
693.581	75.772844
693.791	75.829528
694.001	76.014901
694.212	76.216730
694.422	76.361275
694.632	76.378473
694.843	76.391204
695.053	76.519707
695.263	76.809289
695.473	77.143410
695.683	77.337310
695.894	77.412818
696.104	77.457888
696.314	77.407861
696.524	77.388703
696.734	77.553954
696.944	77.690924
697.154	77.693673
697.365	77.398618
697.575	77.049666
697.785	76.766102
697.995	76.540536
698.205	76.370568
698.415	76.236196
698.625	76.230494
698.834	76.211543
699.044	76.116707
699.254	76.178619
699.464	76.297803
699.674	76.471949
699.884	76.722516
700.094	76.949773
